6.181917,5.735951,5.329562,5.016371,4.775544,4.587939,4.483116,4.465446,4.474967,4.521773,4.566095,4.631042,4.691573,4.740605,4.805400,4.853415,4.899879,4.904443,4.888884,4.855121,4.791439,4.720105,4.631758,4.566298,4.468045,4.399599,4.346221,4.291482,4.247326,4.245950,4.228136,4.207506,4.214235,4.231292,4.254455,4.290337,4.304607,4.334437,4.384224,4.389494,4.456450,4.513917,4.603239,4.741545,4.898143,5.079961,5.267184,5.442368,5.608856,5.777435
5.706845,5.305740,4.972073,4.721624,4.546852,4.448739,4.413090,4.419781,4.468638,4.527561,4.591819,4.655542,4.710722,4.781655,4.834081,4.867722,4.891275,4.867661,4.818049,4.721208,4.630212,4.516261,4.376025,4.267248,4.152509,4.070229,3.995285,3.948950,3.940312,3.946590,3.952443,3.984338,4.016145,4.073175,4.118433,4.185006,4.245369,4.291672,4.333720,4.361277,4.405239,4.446528,4.534533,4.637791,4.784522,4.950791,5.127092,5.291998,5.455313,5.626743
5.291561,4.937683,4.673778,4.501958,4.383332,4.339945,4.353328,4.392347,4.456717,4.532493,4.594241,4.674531,4.730014,4.780830,4.822767,4.852874,4.816688,4.759778,4.649490,4.510829,4.356147,4.204638,4.026280,3.844914,3.763794,3.702732,3.617682,3.569098,3.592103,3.624078,3.679731,3.730322,3.789044,3.889878,3.977919,4.068414,4.163774,4.230867,4.294647,4.327395,4.374629,4.411011,4.470610,4.560569,4.681623,4.828124,5.005516,5.161103,5.321105,5.499462
4.939165,4.657767,4.454962,4.330020,4.263437,4.263446,4.275759,4.341102,4.423632,4.507265,4.589014,4.684631,4.723594,4.751627,4.779901,4.763218,4.684287,4.550471,4.388156,4.189814,3.976519,3.769150,3.589369,3.428409,3.303360,3.234000,3.180514,3.166360,3.196179,3.258406,3.344443,3.453508,3.558543,3.687927,3.799187,3.920627,4.038356,4.133981,4.234242,4.288679,4.351205,4.381746,4.429633,4.515968,4.599627,4.723769,4.874095,5.053661,5.209799,5.400212
4.643223,4.441582,4.290353,4.209208,4.167164,4.175492,4.218232,4.297473,4.380001,4.482579,4.564452,4.631378,4.702338,4.709332,4.678797,4.603943,4.462896,4.256159,4.060873,3.786237,3.550866,3.316423,3.131434,2.955546,2.848637,2.768927,2.737365,2.751270,2.793371,2.894200,2.999154,3.138041,3.296994,3.443062,3.582414,3.741496,3.882012,4.015966,4.134491,4.230390,4.306268,4.360044,4.396273,4.450137,4.523993,4.636178,4.782711,4.959681,5.121163,5.304723
4.409060,4.256950,4.153955,4.095454,4.084204,4.104297,4.161998,4.254104,4.346749,4.467947,4.529211,4.584101,4.624663,4.620723,4.539045,4.379533,4.163404,3.911376,3.630162,3.339313,3.064597,2.831479,2.650230,2.479351,2.386213,2.338376,2.302978,2.332535,2.398357,2.501450,2.646322,2.796204,2.967783,3.147834,3.323759,3.513852,3.682182,3.853981,3.999062,4.117708,4.225845,4.305847,4.347400,4.384929,4.434650,4.539157,4.683528,4.869512,5.048170,5.215151
4.218880,4.109716,4.045138,4.007190,4.010243,4.052522,4.112923,4.212301,4.323299,4.404200,4.475806,4.522763,4.526549,4.439610,4.336723,4.125687,3.830312,3.522307,3.197519,2.852574,2.573600,2.346929,2.183484,2.040978,1.947750,1.898678,1.895891,1.930756,2.016942,2.133276,2.284866,2.449862,2.639394,2.837821,3.016023,3.237236,3.441478,3.628719,3.811153,3.988137,4.094875,4.205042,4.271935,4.318245,4.344269,4.437743,4.578973,4.766240,4.936272,5.127404
4.038856,3.960024,3.927089,3.920319,3.935297,4.002071,4.087022,4.192251,4.282608,4.375052,4.421944,4.429152,4.386959,4.288501,4.089636,3.804568,3.456346,3.095662,2.737639,2.412594,2.124793,1.935903,1.771288,1.653172,1.582524,1.537460,1.546794,1.588226,1.663665,1.766212,1.922514,2.089885,2.283105,2.489742,2.706094,2.941668,3.155679,3.379050,3.597840,3.794628,3.945304,4.094689,4.183929,4.229522,4.269529,4.346102,4.453387,4.619486,4.821544,5.031025
3.867744,3.837058,3.830260,3.857394,3.910047,3.963890,4.069014,4.190942,4.264017,4.318571,4.345452,4.318047,4.247697,4.078897,3.827824,3.480806,3.081364,2.715267,2.330638,2.019296,1.762219,1.560337,1.422038,1.323385,1.277028,1.243675,1.243871,1.274160,1.355340,1.449097,1.588920,1.743681,1.938014,2.139193,2.350650,2.602245,2.851356,3.092251,3.333516,3.568002,3.765150,3.949952,4.066529,4.141538,4.195551,4.235716,4.328352,4.487491,4.666289,4.893143
3.729192,3.743057,3.768279,3.810008,3.881333,3.954598,4.050517,4.120641,4.214949,4.253151,4.250496,4.185781,4.085638,3.857350,3.528922,3.136778,2.722961,2.314673,1.961599,1.671580,1.442818,1.268024,1.140425,1.045754,1.009984,0.978037,0.981222,1.006826,1.069184,1.170215,1.284023,1.439079,1.617903,1.803952,2.025507,2.274940,2.552552,2.801151,3.063945,3.314777,3.564889,3.757651,3.928528,4.030318,4.100010,4.162294,4.230715,4.375803,4.526454,4.762895
